0,1,2,3,4,5,6,7,8,9,10,11,12
,Contrôle de l’acuité visuelle,,,,,,Visite médicale systématique,,,,,
Région,Urbain,,Rural,,Ensemble,,Urbain,,Rural,,Ensemble,
Province/préfecture,"Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée"
,,,,,,,,,,,,
Sidi Bernoussi,22 413,14 652,,,22 413,14 652,22 413,20 204,,,22 413,20 204
Ben Msick,6 885,5 573,,,6 885,5 573,6 885,6 485,,,6 885,6 485
Moulay Rachid,16 027,13 570,,,16 027,13 570,16 027,13 770,,,16 027,13 770
Casablanca-Settat,182 347,131 098,106 057,73 965,288 404,205 063,182 347,168 551,106 057,72 789,288 404,241 340
Al Haouz,7 775,7 012,34 555,3 342,42 330,10 354,7 775,7 228,34 555,3 378,42 330,10 606
Chichaoua,4 496,0,21 703,0,26 199,0,4 496,3 757,21 703,9 263,26 199,13 020
El Kelâa des Sraghna,10 349,4 306,29 513,9 245,39 862,13 551,10 349,4 306,29 513,9 245,39 862,13 551
Essaouira,5 772,4 770,16 704,6 936,22 476,11 706,5 772,5 239,16 704,7 272,22 476,12 511
Marrakech,34 792,0,21 953,0,56 745,0,34 792,11 356,21 953,5 358,56 745,16 714
Rehamna,6 052,5 136,16 255,13 304,22 307,18 440,6 052,5 823,16 255,13 386,22 307,19 209
Safi,12 536,11 795,23 699,15 218,36 235,27 013,12 536,11 358,23 699,16 283,36 235,27 641
Youssoufia,12 532,1 456,22 601,2 370,35 133,3 826,12 532,4 288,22 601,17 761,35 133,22 049
Marrakech- Safi,94 304,34 475,186 983,50 415,281 287,84 890,94 304,53 355,186 983,81 946,281 287,135 301
Errachidia,11 173,5 419,16 039,6 661,27 212,12 080,11 173,8 539,16 039,10 081,27 212,18 620
Midelt,6 816,0,12 273,0,19 089,0,6 816,0,12 273,0,19 089,0
Ouarzazate,5 304,5 023,15 787,8 111,21 091,13 134,5 304,5 047,15 787,9 706,21 091,14 753
Tinghir,6 023,0,18 614,0,24 637,0,6 023,0,18 614,0,24 637,0
Zagora,4 598,1 773,20 138,5 665,24 736,7 438,4 598,3 170,20 138,14 217,24 736,17 387
Darâa-Tafilalet,33 914,12 215,82 851,20 437,116 765,32 652,33 914,16 756,82 851,34 004,116 765,50 760
